Year,,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
1990-01-01,1990-01,64.1,73.4,53.5,64.1,44.59,87.9
1990-02-01,1990-02,64.5,76,52.2,62.2,44.5,90.7
1990-03-01,1990-03,63.8,77.8,41.4,61.3,45.75,95.1
1990-04-01,1990-04,65.8,80.4,48.4,62.8,44.02,94.3
1990-05-01,1990-05,64.4,81,39.2,62,45.5,90.4
1990-06-01,1990-06,63.7,83.1,39.2,60.7,43.8,80.3
1990-07-01,1990-07,62.5,83.4,39.2,57.9,43.72,74.2
1990-08-01,1990-08,61.5,83.7,36.8,55.7,45.37,67.6
1990-09-01,1990-09,61,84.5,38.1,52.5,44.79,68.5
1990-10-01,1990-10,61.1,85.4,38.9,52.8,45.72,60.8
1990-11-01,1990-11,61.9,86.2,39.4,52.4,48.3,62.3
1990-12-01,1990-12,61.9,83.7,45.1,52.6,49.6,60.3
1991-01-01,1991-01,60.8,79.8,46.9,53.7,49.47,54.5
1991-02-01,1991-02,61.5,81.7,46.7,55.2,48.42,52.7
1991-03-01,1991-03,62,80.7,45.8,57.3,48.75,56.6
1991-04-01,1991-04,60.7,79.5,42.8,57.6,47,52.7
1991-05-01,1991-05,60.6,81.2,42.1,57.2,46.56,46.9
1991-06-01,1991-06,61,80.4,43.4,56.5,46.73,56.9
1991-07-01,1991-07,61.8,82.6,40.4,55.7,48.22,63.8
1991-08-01,1991-08,61.4,79.4,41.7,58.3,48.81,58.5
1991-09-01,1991-09,62.1,79.8,45.4,58.8,48.58,57.5
1991-10-01,1991-10,64.3,82.3,48.8,60.6,51.13,56.4
1991-11-01,1991-11,64.4,81.9,50.8,60.8,51.79,53.6
1991-12-01,1991-12,64.1,78.3,50.8,62.7,52.63,55.7
1992-01-01,1992-01,64.8,79.3,52.9,63.9,52.84,51.5
1992-02-01,1992-02,65.7,80.9,52.9,66.5,51.96,48.5
1992-03-01,1992-03,66.1,81.4,52.4,65.9,54.08,50.9
1992-04-01,1992-04,64.5,77.4,52.4,63,53.95,58.5
1992-05-01,1992-05,64.8,78.2,54.6,62,54.02,59.3
1992-06-01,1992-06,65.6,78,57.7,61.8,54.82,64.1
1992-07-01,1992-07,64.4,78.6,58.1,58.5,51.93,63.8
1992-08-01,1992-08,62.8,77.5,56.6,56.1,51.02,60.8
1992-09-01,1992-09,63.5,77.1,58.1,58.3,52.2,57.6
1992-10-01,1992-10,61.5,73.5,54.9,58.2,52.22,53.9
1992-11-01,1992-11,62.4,75.5,53.8,58.8,53.88,53
1992-12-01,1992-12,61,72.8,53.2,58.5,53,50.4
1993-01-01,1993-01,61.3,72.6,53.3,59.1,53.98,51
1993-02-01,1993-02,61.2,72.1,54,58.1,54.24,53
1993-03-01,1993-03,62.9,75.7,53.3,57.8,53.05,65.7
1993-04-01,1993-04,62.5,74.8,52.4,57.3,52.83,69
1993-05-01,1993-05,62,74.9,51.7,55.4,51.9,73.2
1993-06-01,1993-06,61.5,77.6,51.8,52.8,51.24,64.3
1993-07-01,1993-07,61.9,77,49.7,55.8,53.28,59.9
1993-08-01,1993-08,60.5,73.8,48,56.6,52.61,57.8
1993-09-01,1993-09,60.9,74.3,45.1,58.4,52.54,59
1993-10-01,1993-10,61.2,73.5,41,61.4,52.12,63.7
1993-11-01,1993-11,63,72.4,41.2,66.7,56.22,62.6
1993-12-01,1993-12,64.3,70.1,41.8,68.9,63.58,65.1
1994-01-01,1994-01,64.5,69.5,45.5,68.6,63.88,63.7
1994-02-01,1994-02,64.1,70.9,45.4,66.8,60.4,67
1994-03-01,1994-03,64.5,72.5,46,64.1,61.31,72.7
1994-04-01,1994-04,63.7,72.9,42.3,62.4,63.66,68.1
1994-05-01,1994-05,65.6,76.1,42.3,62,67.78,71.7
1994-06-01,1994-06,65.2,74.4,45.1,60.1,68.47,74.6
1994-07-01,1994-07,63.9,75,45.6,56,67.15,72.8
1994-08-01,1994-08,66.2,76.6,46.6,57.5,73.33,74.9
1994-09-01,1994-09,69.3,77.9,49.9,60.2,80.5,77.9
1994-10-01,1994-10,69.9,78.1,52,61.7,79,78.9
1994-11-01,1994-11,73.2,81.9,53.2,61.1,88.31,86.3
1994-12-01,1994-12,73.1,78.2,55,62.7,88.62,90.8
1995-01-01,1995-01,72.9,78.6,58.9,62.9,82.66,91.3
1995-02-01,1995-02,74.4,83.1,61.1,62.5,82.67,89.2
1995-03-01,1995-03,75.1,84.1,61.8,62.2,84.42,90.3
1995-04-01,1995-04,74,84.9,61.1,62.7,77.94,84.8
1995-05-01,1995-05,74,83.8,61.2,64.9,76.79,83.7
1995-06-01,1995-06,75.1,81,61.2,69.1,80.33,86.8
1995-07-01,1995-07,79.5,87.4,64.6,74,83.96,84.1
1995-08-01,1995-08,78,87.1,64.3,72.6,79.95,80.3
1995-09-01,1995-09,78.3,88.4,64.3,75.9,76.28,72.3
1995-10-01,1995-10,80.4,88.8,64.8,80.2,79.95,73.3
1995-11-01,1995-11,79.8,87.2,64.8,80.5,78.99,74.1
1995-12-01,1995-12,78,81.2,64.4,82.7,75.58,76.2
1996-01-01,1996-01,77,79.8,64.3,83.3,70.75,77.5
1996-02-01,1996-02,77.5,79.9,64.2,85.7,68.63,79.3
1996-03-01,1996-03,78.6,82.9,63,86.9,68.17,79.9
1996-04-01,1996-04,80.8,80.8,62.7,95.3,73.56,74.1
1996-05-01,1996-05,82.4,83.1,61,100,73.37,70.5
1996-06-01,1996-06,80.5,83.5,61.1,94.3,68.85,75.3
1996-07-01,1996-07,80.2,86.1,61.3,91.1,66.07,79.3
1996-08-01,1996-08,79.9,88.8,60.7,85.8,69.1,76.6
1996-09-01,1996-09,76.9,88.7,60.1,75.3,71.47,73.8
1996-10-01,1996-10,74.1,85.9,61,71.1,69.08,68.8
1996-11-01,1996-11,72.5,84.9,59.9,67.4,70.01,66.3
1996-12-01,1996-12,71.4,81,60.2,67.6,70.17,66.5
